,year,title,authors
20478,1998,Antnet: Distributed stigmergetic control for communications networks,Caro Gianni
20479,1998,Two ant colony algorithms for best-effort routing in datagram networks,Caro Gianni
20480,1987,Der genetische algorithmus: Eine implementierung in prolog,Dickmanns Dirk
20481,1995,Overfitting and undercomputing in machine learning,Dietterich Tom
20482,2001,A parallel memetic algorithm for solving optimization problems,Digalakis Jason
20483,2004,Performance comparison of memetic algorithms,Digalakis Jason
20484,1959,A note on two problems in connexion with graphs,Dijkstra Edsger Wybe
20485,1975,"Guarded commands, nondeterminacy and formal derivation of programs",Dijkstra Edsger Wybe
20486,2003,Performance implications of hyperthreading,Ding Yiping
20487,1973,Algorithm as 62: A generator for the sampling distribution of the mann-whitney u statistic,Dinneen L.C.
20488,2001,Artificial chemistries – a review,Dittrich Peter W.G.
20489,1997,On the optimality of the simple bayesian classifier under zero-one loss,Domingos Pedro
20490,1991,Message-based bucket brigade: An algorithm for the apportionment of credit problem,Dorigo Marco
20491,1994,A comparison of Q-learning and classifier systems,Dorigo Marco
20492,2005,Ant colony optimization theory: a survey,Dorigo Marco
20493,1997,Ant colony system: A cooperative learning approach to the traveling salesman problem,Dorigo Marco
20494,2004,Ant Colony Optimization,Dorigo Marco
20495,1996,The ant system: Optimization by a colony of cooperating agents,Dorigo Marco
20496,1998,Ant algorithms for discrete optimization,Dorigo Marco
20497,1999,Ant algorithms for discrete optimization,Dorigo Marco
20498,2000,Special issue on “ant algorithms”,Dorigo Marco
20499,2002,Special section on “ant colony Optimization”,Dorigo Marco
20500,2004,"Francesco Mondada, and Thomas Stutzle",Dorigo Marco
20501,2006,Ant colony optimization,Dorigo Marco
20502,2006,"Ricardo Poli, and Thomas Stutzle",Dorigo Marco
20503,1966,Applied regression analysis,Draper Norman Richard
20504,1998,On the optimization of unimodal functions with the (1+1) evolutionary algorithm,Droste Stefan
20505,2000,"Optimization with randomized search heuristics – the (a)nfl theorem, realistic scenarios, and difficult functions",Droste Stefan
20506,2002,"Optimization with randomized search heuristics – the (a)nfl theorem, realistic scenarios, and difficult functions",Droste Stefan
20507,2004,A simple pllbased true random number generator for embedded digital systems,Drutarovsky Milos
20508,2006,Analysis of a masterslave architecture for distributed evolutionary computations,Dubreuil Marc
20509,2000,"Pattern Classification. Estimation, Simulation, and Control – Wiley-Interscience Series in Discrete Mathematics and Optimization",Duda Richard O.
20510,1999,Using symbolic regression to infer strategies from experimental data,Duffy John
20511,2002,Using symbolic regression to infer strategies from experimental data,Duffy John
20512,2000,Evolutionary Computation,Dumitrescu Dumitru
20513,1996,Applications of evolutionary programming for the prediction of protein-protein interactions,Duncan Bruce S.
20514,2002,Data Mining: Introductory and Advanced Topics,Dunham Margaret H.
20515,2006,Data fusion in sensor networks,Durrant-Whyte H.
20516,1995,A new optimizer using particle swarm theory,Eberhart Russel C.
20517,1998,Comparison between genetic algorithms and particle swarm optimization,Eberhart Russel C.
20518,2007,Leonardo Vanneschi,Ebner Marc
20519,1995,Randomization tests,Edgington Eugene S.
20520,1998,On evolutionary exploration and exploitation,Eiben Agoston E.
20521,2003,Introduction to Evolutionary Computing. Natural Computing Series,Eiben Agoston E.
20522,1979,The Hypercycle: A Principle of Natural Self Organization,Eigen Manfred
20523,2001,Selection based on the pareto nondomination criterion for controlling code growth in genetic programming,Ekart Aniko
20524,2002,A massively parallel GP engine in VLSI,Eklund Sven E.
20525,1999,A method and a genetic algorithm for deriving protocols for distributed applications with minimum communication cost,El-Fakihy Khaled
20526,1977,Punctuated equilibria: The tempo and mode of evolution reconsidered,Eldredge Niles
20527,1972,Punctuated equilibria: an alternative to phyletic gradualism,Eldredge Nils
20528,1968,Book reviews: “applied regression analysis,Ellis D.M.
20529,2000,Mixed-integer evolution strategy for chemical plant optimization,Emmerich Michael
20530,2006,Fundamentals of Computational Swarm Intelligence,Engelbrecht Andries P.
20531,2005,"Service-Oriented Architecture (SOA): Concepts, Technology, and Design. The Prentice Hall Service-Oriented Computing Series from Thomas Erl",Erl Thomas
20532,1991,Preventing premature convergence in genetic algorithms by preventing incest,Eshelman Larry J.
20533,1989,Biases in the crossover landscape,Eshelman Larry J.
20534,2008,Supply chain optimisation using evolutionary algorithms,Falcone Marco Aurelio
20535,2004,XML Schema Part 0: Primer Second Edition,Fallside David C.
20536,2007,A hybrid simplex search and particle swarm optimization for unconstrained optimization,Fan Shu-Kai S.
20537,2006,A genetic algorithm and a particle swarm optimizer hybridized with nelder-mead simplex search,Fan Shu-Kai S.
20538,2004,Large scale feature selection using modified random mutation hill climbing,Farmer Michael E.
20539,1999,Qos routing based on genetic algorithms,Fei Xiang
20540,2000,Using factorial experiments to evaluate the effect of genetic programming parameters,Feldt Robert
20541,1968,An Introduction to Probability Theory and Its Applications,Feller William
20542,1989,Flight scheduling and maintenance base planning,Feo Thomas A.
20543,1989,A probabilistic heuristic for a computationally difficult set covering problem,Feo Thomas A.
20544,1995,Greedy randomized adaptive search procedures,Feo Thomas A.
20545,2006,Differential Evolution,Feoktistov Vitaliy
20546,2001,Gene expression programming: a new adaptive algorithm for solving problems,Ferreira Candida
20547,2002,Analyzing the founder effect in simulated evolutionary processes using gene expression programming,Ferreira Candida
20548,2002,Genetic representation and genetic neutrality in gene expression programming,Ferreira Candida
20549,2002,Function finding and the creation of numerical constants in gene expression programming,Ferreira Candida
20550,2002,Discovery of the boolean functions to the best density-classification rules using gene expression programming,Ferreira Candida
20552,2004,Designing neural networks using gene expression programming,Ferreira Candida
20553,1992,Monte carlo simulations: Hidden errors from “good” random number generators,Ferrenberg Alan M.
20554,2004,An annotated bibliography of grasp,Festa Paola
20555,1999,Software Test Automation,Fewster Mark
20556,2001,Extensions to the strength pareto evolutionary algorithm,Fieldsend Jonathan E.
20557,2003,Mathematical Constants (Encyclopedia of Mathematics and its Applications,Finch Steven R.
20558,2003,"Transitive relations, topologies and partial orders",Finch Steven R.
20559,2004,High performance true random number generator in altera stratix fplds,Fischer Viktor
20560,1918,The correlations between relatives on the supposition of mendelian inheritance,Fisher Sir Ronald Aylmer
20561,1922,"On the interpretation of χ2 from contingency tables, and the calculation of p",Fisher Sir Ronald Aylmer
20562,1925,Applications of “student’s” distribution,Fisher Sir Ronald Aylmer
20563,1925,Statistical Methods for Research Workers,Fisher Sir Ronald Aylmer
20564,1926,The arrangement of field experiments,Fisher Sir Ronald Aylmer
20565,1936,the coefficient of racial likeness” and the future of craniometry,Fisher Sir Ronald Aylmer
20566,1988,Genetic algorithms in noisy environments,Fitzpatrick J.Michael
20567,2004,Java Examples in a Nutshell,Flanagan David
20568,2005,Java In A Nutshell,Flanagan David
20569,2007,Analysis of dynamic sensor networks: Power law then what?,Fleury Eric
20570,2003,Pardalos,Floudas Christodoulos A.
20571,1992,Evolution in a rugged fitness landscape,Flyvbjerg Henrick
20572,1991,System Identification through Simulated Evolution: A Machine Learning Approach to Modeling,Fogel David B.
20573,2000,Evolutionary Computation: Principles and Practice for Signal Processing,Fogel David B.
20574,2000,Evolving a checkers player without relying on human experience,Fogel David B.
20575,2001,Blondie24: playing at the edge of AI. The Morgan Kaufmann Series in Artificial Intelligence,Fogel David B.
20576,1964,On the organization of intellect,Fogel Lawrence Jerome
20577,1999,Intelligence Through Simulated Evolution: Forty Years of Evolutionary Programming,Fogel Lawrence Jerome
20578,1994,A preliminary investigation on extending evolutionary programming to include self-adaptation on finite state,Fogel Lawrence Jerome
20579,1966,Artificial Intelligence through Simulated Evolution,Fogel Lawrence Jerome
20580,2005,Gp ensemble for distributed intrusion detection systems,Folino Gianluigi
20581,1993,"Genetic algorithms for multiobjective optimization: Formulation, discussion and generalization",Fonseca Carlos M.
20582,1995,An overview of evolutionary algorithms in multiobjective optimization,Fonseca Carlos M.
20583,1998,Multiobjective optimization and multiple constraint handling with evolutionary algorithms – part i: A unified formulation,Fonseca Carlos M.
20584,1998,Multiobjective optimization and multiple constraint handling with evolutionary algorithms – part ii: Application example,Fonseca Carlos M.
20585,2003,Kalyanmoy Deb,Fonseca Carlos M.
20586,1990,Algorithmic chemistry,Fontana Walter
20587,1993,Rna folding and combinatory landscapes,Fontana Walter
20588,1987,Forbus and Howard Shrobe,H Kenneth S.
20589,2005,Construction of a peer-to-peer information system in grids,Forestiero Agostino
20590,2007,Antares: an ant-inspired p2p information system for a self-structured grid,Forestiero Agostino
20591,2008,Building a peer-to-peer information system in grids via self-organizing agents,Forestiero Agostino
20592,2008,Reorganization and discovery of grid information with epidemic tuning,Forestiero Agostino
20593,1992,Relative building-block fitness and the building-block hypothesis,Forrest Stephanie
20594,1995,Evolutionary dynamics and optimization: Neutral networks as model-landscapes for RNA secondarystructure folding-landscapes,Forst Christian V.
20595,1981,BEAGLE a darwinian approach to pattern recognition,Forsyth Richard
20596,1989,The evolution of intelligence,Forsyth Richard
20597,1986,Machine Learning applications in Expert Systems and Information Retrieval. Ellis Horwood series in Artificial Intelligence,Forsyth Richard
20598,2001,Review: Discipulus: A commercial genetic programming system,Foster James A.
20599,2002,Conor Ryan,Foster James A.
20600,1997,"Applied Regression Analysis, Linear Models, and Related Methods",Fox John
20601,1999,Homologous crossover in genetic programming,Francone Frank D.
20602,1972,Nonlinearities in Genetic Adaptive Search,Frantz Daniel Raymond
20603,1957,Simulation of genetic systems by automatic digital computers,Fraser Alex S.
20604,1992,Knowledge discovery in databases: An overview,Frawley William J.
20605,1997,A genetic programming framework for two data mining tasks: Classification and generalized rule induction,Freitas Alex A.
20606,1990,Boosting a weak learning algorithm by majority,Freund Yoav
20607,1995,A decision-theoretic generalization of on-line learning and an application to boosting,Freund Yoav
20608,1996,Experiments with a new boosting algorithm,Freund Yoav
20609,1997,A decision-theoretic generalization of on-line learning and an application to boosting,Freund Yoav
20610,2002,"Virtual Ecosystems – Evolutionary and Genetic Programming from the perspective of modern means of ecosystem-modelling, volume 93 of Bayreuth Forum Ecology",Frey Clemens
20611,1958,A learning machine: Part i,Friedberg Richard M.
20612,1959,A learning machine: Part ii,Friedberg Richard M.
20613,1991,Game Theory,Fudenberg Drew
20614,1987,Using the genetic algorithm to generate lisp source code to solve the prisoner’s dilemma,Fujiko Cory
20615,1986,An evaluation of hollands genetic algorithm applied to a program generator,Fujuki Cory
20616,1997,An evolutionary optimization system for spacecraft design,Fukunaga Alex S.
20617,1997,Pareto analysis vis-a-vis balance space approach in multiobjective global optimization,Galperin E.A.
20618,2002,Application of global optimization and radial basis functions to numerical solutions of weakly singular volterra integral equations,Galperin E.A.
20619,2007,Spacecraft thermal design with the generalized extremal optimization algorithm,Galski Roberto
20620,1996,Solving symmetric and asymmetric TSPs by ant colonies,Gambardella Luca Maria
20621,1999,Ant colonies for the quadratic assignment problem,Gambardella Luca Maria
20622,2003,Ant colony optimization for vehicle routing in advanced logistics systems,Gambardella Luca Maria
20623,2005,Analysis of energy conservation in sensor networks,Gao Q.
20624,2005,Learning classifier system ensemble for data mining,Gao Yang
20625,2002,An analysis of phase transition in nk landscapes,Gao Yong
20626,2007,A memetic differential evolutionary algorithm for high dimensional functions’ optimization,Gao Yu
20627,2007,An adaptive particle swarm optimization algorithm with new random inertia weight,Gao Yuelin
20628,2007,Adaptive particle swarm optimization algorithm with genetic mutation operation,Gao Yuelin
20629,1979,Computers and Intractability: A Guide to the Theory of NP-Completeness,Garey Michael R.
20630,2000,Statistical distribution of the convergence time of evolutionary algorithms for long-path problems,Garnier Josselin
20631,2004,Fitness Landscapes and the Origin of Species,Gavrilets Sergey
20632,2001,An exploration of NK landscapes with neutrality,Geard Nicholas
20633,2002,"A comparison of neutral landscapes – NK, NKp and NKq",Geard Nicholas
20634,1996,Tuning evolutionary programming for conformationally flexible molecular docking,Gehlhaar Daniel K.
20635,1995,Docking conformationally flexible small molecules into a protein binding site through evolutionary programming,Gehlhaar Daniel K.
20636,2006,Reyes Garcıa,Gelbukh Alexander F.
20637,1988,The growth of software testing,Gelperin D.
20638,1992,Neural networks and the bias/-variance dilemma,Geman Stuart
20639,2001,Genetic Algorithms (Engineering Design and Automation). Wiley Series in Engineering Design and Automation,Gen Mitsuo
20640,1997,Genetic Algorithms and Engineering Design,Gen Mitsuo
20641,2004,Evolutionare Algorithmen,Gerdes Ingrid
20642,1998,Encapsulated evolution strategies for the determination of group contribution model parameters in order to predict thermodynamic properties,Geyer Hannes
20643,1999,Use of evolutionary algorithms for the calculation of group contribution parameters in order to predict thermodynamic properties – part 2: Encapsulated evolution strategies,Geyer Hannes
20644,2002,Fundamentals of Software Engineering,Ghezzi Carlo
20645,2006,Distributed Systems: An Algorithmic Approach,Ghosh Sukumar
20646,2007,"Sima Uyar, and Shengxiang Yang",Giacobini Mario
20647,2008,Franz Rothlauf,Giacobini Mario
20648,2009,Muddassar Farooq,Giacobini Mario
20649,1985,Nonstationary markov chains and convergence of the annealing algorithm,Gidas Basilis
20650,1978,Why genes in pieces,Gilbert Walter
20651,1116,Molecular evolution over the mutational landscape,Gillespie John H.
20652,1999,Simulated quenching with temperature rescaling for designing diffractive optical elements,Gillet Jean-Numa
20653,1999,A theory of emergent computation based on cooperative self-organization for adaptive artificial systems,Gleizes Marie-Pierre
20654,1986,Future paths for integer programming and links to artificial intelligence,Glover Fred
20655,1989,Tabu search – part i,Glover Fred
20656,1990,Tabu search – part ii,Glover Fred
20657,1998,Tabu search,Glover Fred
20658,1993,Genetic algorithms for tracking changing environments,Gobb Helen G.
20659,1994,Global optimization of statistical functions with simulated annealing,Goffe William L.
20660,2006,"Inteins, introns, and homing endonucleases: recent revelations about the life cycle of parasitic genetic elements",Gogarten J.Peter
20661,1983,Computer-aided gas pipeline operation using genetic algorithms and rule learning,Goldberg David E.
20662,1989,"Genetic Algorithms in Search, Optimization, and Machine Learning",Goldberg David E.
20663,1990,A comparative analysis of selection schemes used in genetic algorithms,Goldberg David E.
20665,1987,Genetic algorithms with sharing for multimodal function optimization,Goldberg David E.
20666,1989,"Messy genetic algorithms: motivation, analysis, and first results",Goldberg David E.
20667,1990,Messy genetic algorithms revisited: Studies in mixed size and scale,Goldberg David E.
20668,2005,"Wireless Communications. Cambridge University Press, The Edinburgh Building, Shaftesbury Road, Cambridge, CB2 8RU",Goldsmith Andrea
20669,2006,Discovering accurate and interesting classification rules using genetic algorithm,Gopalan Janaki
20670,1989,Asparagos: An asynchronous parallel genetic optimization strategy,Gorges-Schleuter Martina
20671,1991,Explicit parallelism of genetic algorithms through population structures,Gorges-Schleuter Martina
20672,1996,The java language environment – a white paper,Gosling James
20673,2005,The Java Series,Gosling James
20674,1990,How trail laying and trail following can solve foraging problems for ant colonies,Simon Goss R.Beckers
20675,1942,The probable error of a mean,Gosset William Sealy
20676,2002,The sensor network as a database,Govindan Ramesh
20677,2000,Genetic programming and protocol configuration,Grace Paul
20678,1985,Implicit and explicit memory for new associations in normal and amnesic subjects,Graf Peter
20679,1959,La reconstruction du nid et les coordinations inter-individuelles chez bellicositermes natalensis et cubitermes sp. la theorie de la stigmergie: Essai d’interpretation des termites constructeurs,Grasse Pierre-Paul
20680,2006,Everyware: The Dawning Age of Ubiquitous Computing,Greenfield Adam
20681,1996,Fitness functions for multiple objective optimization problems: Combining preferences with pareto rankings,Greenwood Garrison W.
20682,1990,Conditions for implicit parallelism,Grefenstette John J.
20683,1992,Deception considered harmful,Grefenstette John J.
20684,1994,Predictive models using fitness distributions of genetic operators,Grefenstette John J.
20685,1989,How genetic algorithms work: A critical look at implicit parallelism,Greffenstette John J.
20686,1996,Robust optical coating design with evolutionary strategies,Greiner Horst
20687,1992,Genetic synthesis of boolean neural networks with a cell rewriting developmental process,Gruau Frederic
20688,1991,Parsing techniques a practical guide,Grune Dick
20689,2002,Panagiotis Adamidis,Guervos Juan J.Merelo
20690,2001,Pheromone modification strategies for ant algorithms applied to dynamic tsp,Guntsch Michael
20691,2001,An ant colony optimization approach to dynamic TSP,Guntsch Michael
20692,1965,Convergence of the random search method in the presence of noise,Gurin L.S.
20693,2004,An Analysis of Diversity in Genetic Programming,Gustafson Steven Matt
20694,2004,Problem difficulty and code growth in genetic programming,Gustafson Steven Matt
20695,2006,Crossover for single-objective numerical optimization problems,Gwiazda Tomasz Dominik
20696,2003,"Statistik fur Nutztierethologen – Einfuhrung in die statistische Denkweise: Was ist, was macht ein statistischer Test? Zentrum fur tiergerechte Haltung",Gygax Lorenz
20697,1975,Multiobjective Optimization in Water Resource Systems,Haimes Yacov Y.
20698,1988,Cooling schedules for optimal annealing,Hajek B.
20699,2001,Naive Set Theory. Undergraduate Texts in Mathematics,Halmos Paul R.
20700,1994,Evolution strategies on noisy functions: How to improve convergence properties,Hammel Ulrich
20701,1950,Error-detecting and error-correcting codes,Hamming Richard W.
20702,2007,A novel opposition-based particle swarm optimization for noisy problems,Han Lin
20703,2001,Principles of Data Mining,Hand David J.
20704,2006,Robust solution of salting route optimisation using evolutionary algorithms,Handa Hisashi
20705,2007,Genetic programming for prevention of cyberterrorism through previous dynamic and evolving intrusion detection,Hansen James V.
20706,1996,Adapting arbitrary normal mutation distributions in evolution strategies: the covariance matrix adaptation,Hansen Nikolaus
20707,1997,"Convergence properties of evolution strategies with the derandomized covariance matrix adaption: The (μ/μi , λ)-cma-es",Hansen Nikolaus
20708,2001,Completely derandomized self-adaptation in evolution strategies,Hansen Nikolaus
20709,1995,On the adaptation of arbitrary normal mutation distributions in evolution strategies: The generating set adaptation,Hansen Nikolaus
20710,1986,The steepest ascent mildest descent heuristic for combinatorial programming,Hansen P.
20711,2005,Evolution of robot controller using cartesian genetic programming,Harding Simon
20712,2003,Smart Home – Vernetzung von Haustechnik und Kommunikationssystemen im Wohnungsbau,Harke Werner
20713,1997,Exploring alternative operators and search strategies in genetic programming,Harries Kim
20714,2005,Smith,Hart William E.
20715,1999,Category: Genetic programming towards byte code genetic programming,Harvey Brad
20716,1997,Practical Genetic Algorithms,Haupt Randy L.
20717,1994,Evolving cooperation strategies,Haynes Thomas D.
20718,1995,Evolving cooperating strategies,Haynes Thomas D.
20719,1995,Strongly typed genetic programming in evolving cooperation strategies,Haynes Thomas D.
20720,1996,Type inheritance in strongly typed genetic programming,Haynes Thomas D.
20721,1990,The architecture of a network level intrusion detection system,Heady Richard
20722,1995,An introduction to experimental design and statistics for biology,Heath David
20723,1999,Adaptive protocols for information dissemination in wireless sensor networks,Heinzelman Wendi Rabiner
20724,1994,Genetische Algorithmen. Theorie und Praxis evolutionarer Optimierung,Heistermann Jochen
20725,1994,Ranexp: experimental random number generator package,Hennecke Michael
20726,2001,Credit apportionment scheme for rule based systems,Hewahi Nabil M.
20727,2002,Credit apportionment scheme for rule-based systems: Implementation and comparative study,Hewahi Nabil M.
20728,1996,Bucket brigade algorithm for hierarchical censored production rule-based system,Hewahi Nabil M.
20729,2002,Dynamic page-based linear genetic programming,Heywood Malcom I.
20730,1986,Application of the genetic algorithm to automatic program generation,Hicklin Joseph F.
20731,1928,"Grundzuge der theoretischen Logik, volume XXVII of Die Grundlehren der mathematischen Wissenschaften in Einzeldarstellungen mit besonderer Berucksichtigung der Anwendungsgebiete",Hilbert David
20732,1990,Co-evolving parasites improve simulated evolution as an optimization procedure,Hillis W.Daniel
20733,1987,How learning can guide evolution,Hinton Geoffrey E.
20734,1996,How learning can guide evolution,Hinton Geoffrey E.
20735,2001,Comparison between genetic network programming (GNP) and genetic programming (GP,Kotaro Hirasawa M.Okubo
20736,1990,Genetic algorithms and evolution strategies –similarities and differences,Hoffmeister Frank
20737,1992,Genetic algorithms and evolution strategies –similarities and differences,Hoffmeister Frank
20738,1962,Outline for a logical theory of adaptive systems,Holland John Henry
20739,1967,"Nonlinear environments permitting efficient adaptation, volume II of Computer and Information Sciences",Holland John Henry
20740,1969,Adaptive plans optimal for payoff-only environments,Holland John Henry
20741,1975,"Adaptation in Natural and Artificial Systems: An Introductory Analysis with Applications to Biology, Control, and Artificial Intelligence",Holland John Henry
20742,1980,Adaptive algorithms for discovering and using general patterns in growing knowledge bases,Holland John Henry
20743,1985,Properties of the bucket brigade algorithm,Holland John Henry
20744,1986,Escaping brittleness: The possibilities of general-purpose learning algorithms applied to parallel rule-based systems,Holland John Henry
20745,1995,Escaping brittleness: the possibilities of general-purpose learning algorithms applied to parallel rule-based systems,Holland John Henry
20746,1992,Genetic algorithms,Holland John Henry
20747,1977,Cognitive systems based on adaptive algorithms,Holland John Henry
20748,1978,Cognitive systems based on adaptive algorithms,Holland John Henry
20749,2000,What is a learning classifier system?,Holland John Henry
20750,1999,Memetic algorithms using guided local search: a case study,Holstein Diana
20751,2001,"Combinatorial auctions, knapsack problems, and hill-climbing search",Holte Robert C.
20752,2003,The Spin Model Checker – Primer and Reference Manual,Holzmann Gerald J.
20753,2006,The classification of cancer based on dna microarray data that uses diverse ensemble genetic programming,Hong Jin-Hyuk
20754,2003,Using and maintaining organization in a large-scale distributed sensor network,Horling Bryan
20755,1994,Long path problems,Horn Jeffrey
20756,1996,"A c++ class library for gp: Vienna university of economics genetic programming kernel (release 1.0, operating instructions",Horner Helmut
20757,2005,Design and Analysis of Randomized Algorithms: Introduction to Design Paradigms,Hromkovic J.
20758,2001,Algorithmics for Hard Computing Problems,Hromkovic Juraj
20759,2003,A genetic algorithm for the minimum tetrahedralization of a convex polyhedron,Hsieh Ian
20760,2008,Measuring rate of evolution in genetic programming using amino acid to synonymous substitution ratio ka/ks,Hu Ting
20761,1989,A framework for the credit-apportionment process in rule-based systems,Huang D.
20762,1999,An evolution strategy to solve sports scheduling problems,Huang Hsien-Da
20763,2006,A review of multiobjective test problems and a scalable test problem toolkit,Huband Simon
20764,1987,A test of neutral molecular evolution based on nucleotide data,Hudson Richard R.
20765,1995,Random Walks and Random Environments: Volume 1: Random Walks,Hughes Barry D.
20766,2002,Evolvable self-replicating molecules in an artificial chemistry,Hutton Tim J.
20767,2007,Evolvable self-reproducing cells in a two-dimensional artificial chemistry,Hutton Tim J.
20768,1996,Exploring phenotype space through neutral evolution,Huynen Martijn A.
20769,1988,Simulated annealing: Theory and applications,Hwang Chii-Ruey
20770,2006,A tabu search approach to generating test sheets for multiple assessment criteria,Hwang Gwo-Jen
20771,1999,Evolving multiple agents by genetic programming,Iba Hitoshi
20772,1997,Evolving communicating agents based on genetic programming,Iba Hitoshi
20773,2003,Business Process Execution Language for Web Services Version 1.1,
20774,1998,Causality of hierarchical variable length representations,Igel Christian
20775,2003,On classes of functions for which no free lunch results hold,Igel Christian
20776,2003,Recent results on no-free-lunch theorems for optimization,Igel Christian
20777,2005,The enhanced evolutionary tabu search and its application to the quadratic assignment problem,McLoughlin John F.
20778,2002,A search for routing strategies in a peer-to-peer network using genetic programming,Iles Michael
20779,1996,Adaptive simulated annealing (asa): Lessons learned,Ingber Lester
20780,1999,A simple options training model,Ingber Lester
20781,1996,Trading markets with canonical momenta and adaptive simulated annealing,Ingber Lester
20782,1993,Simulated annealing: Practice versus theory,Ingber Lester
20783,2002,Balance between genetic search and local search in hybrid evolutionary multi-criterion optimization algorithms,Ishibuchi Hisao
20784,1998,Non-destructive depth-dependent crossover for genetic programming,Ito Takuya
20785,1998,A search for fundamental principles of software engineering,
20786,2005,Parsing and translation of expressions by genetic programming,Jackson David
20787,1988,Algorithms for Clustering Data. Prentice-Hall Advanced Reference Series,Jain Anil K.
20788,1999,Data clustering: A review,Jain Anil K.
20789,2007,A comparison of simulated annealing with a simple evolutionary algorithm on pseudo-boolean functions of unitation,Jansen Thomas
20790,2006,Improving evolution strategies through active covariance matrix adaptation,Jastrebski G.A.
20791,2004,Context-free grammar induction using genetic programming,Javed Faizad
20792,1996,Probability Theory: The Logic of Science,Jaynes Edwin Thompson
20793,2003,Probability Theory: The Logic of Science,Jaynes Edwin Thompson
20794,1990,Evolution as a theme in artificial life: The genesys/tracker system,Jefferson David R.
20795,2004,Epidemic-style proactive aggregation in large overlay networks,Jelasity Mark
20796,2005,Gossip-based aggregation in large dynamic networks,Jelasity Mark
20797,1998,Self-organized Criticality: Emergent Complex Behavior in Physical and Biological Systems,Jensen Henrik Jeldtoft
20798,2007,Design and analysis of micro-solar power systems for wireless sensor networks,Jeong Jaein
20799,2006,Jing Liu,Jiao Licheng
20801,1999,Evolutionary techniques for constrained multiobjective optimization problems,Jimenez Fernando
20802,1909,Elemente der exakten Erblichkeitslehre (mit Grundzugen der Biologischen Variationsstatistik,Johannsen Wilhelm Ludvig
20803,2006,Design of a wide-band printed antenna using a genetic algorithm on an array of overlapping sub-patches,John Matthias
20804,2006,Optimisation of a wide-band printed monopole antenna using a genetic algorithm,John Matthias
20805,2005,Genetic programming in wireless sensor networks,Johnson Derek M.
20806,1982,Selective costs and benefits in the evolution of learning,Johnstona Timothy D.
20807,1994,On the use of non-stationary penalty functions to solve nonlinear constrained optimization problems with ga’s,Joines Jeffrey A.
20808,2003,Abstract syntax tree implementation idioms,Jones Joel
20809,2006,Comparing genetic robustness in generational vs. steady state evolutionary algorithms,Jones Josh
20810,1994,A description of holland’s royal road function,Jones Terry
20811,1994,"A description of holland’s royal road function. Working Papers 94-11-059, Santa Fe Institute, 1399 Hyde Park Road",Jones Terry
20812,1995,"Evolutionary Algorithms, Fitness Landscapes and Search",Jones Terry
20813,1995,Fitness distance correlation as a measure of problem difficulty for genetic algorithms,Jones Terry
20814,2007,Web Services Business Process Execution Language Version 2.0,Jordan Diane
20815,1985,How much context-sensitivity is necessary for characterizing structural descriptions – tree adjoining grammars,Joshi Aravind K.
20816,2003,A formalism for dependency grammar based on tree adjoining grammar,Joshi Aravind K.
20817,1997,Tree-adjoining grammars,Joshi Aravind K.
20818,1992,Do intelligent configuration search techniques outperform random search for large molecules?,Judson R.S.
20819,2000,Wilcoxon’s signed-rank distribution,Junge Mirko
20820,2006,A numerical study of some modified differential evolution algorithms,Kaelo Professor
20821,2007,Differential evolution algorithms using hybrid mutation,Kaelo Professor
20822,2000,An extrinsic function-level evolvable hardware approach,Kalganova Tatiana
20823,1999,Evolving more efficient digital circuits by allowing circuit layout evolution and multi-objective fitness,Kalganova Tatiana
20825,2005,Probabilistic symmetries and invariance principles. Probability and its Applications,Kallenberg Olav
20826,2005,Evolutionary computing in telecommunications – a likely ec success story,Kampstra Peter
20827,2006,Evolutionary computing in telecommunication network design: A survey,Kampstra Peter
20828,2001,A genetic algorithm methodology for data mining and intelligent knowledge acquisition,Kamrani Ali
20829,1993,Testing Computer Software,Kaner Cem
20830,1999,100 Statistical Tests,Kanji Gopal K.
20831,2005,Protocols and Architectures for Wireless Sensor Networks,Karl Holger
20832,2003,A self-tuning evolutionary algorithm applied to an inverse partial differential equation,Karr Charles L.
20833,2001,Network structure oriented evolutionary model– genetic network programming – and its comparison with genetic programming,Katagiri Hironobu
20834,2001,Network structure oriented evolutionary model – genetic network programming – and its comparison with genetic programming,Katagiri Hironobu
20835,2002,Network structure oriented evolutionary model: Genetic network programming – its comparison with genetic programming,Katagiri Hironobu
20836,1988,Adaptation on rugged fitness landscapes,Kauffman Stuart Alan
20837,1993,The Origins of Order: Self-Organization and Selection in Evolution,Kauffman Stuart Alan
20838,1987,Towards a general theory of adaptive walks on rugged landscapes,Kauffman Stuart Alan
20839,1989,The nk model of rugged fitness landscapes and its application to maturation of the immune response,Kauffman Stuart Alan
20840,2007,An unsupervised approach for adaptive color segmentation,Kaufmann Ulrich
20841,1958,Unit-distance error-checking codes,Kautz W.H.
20842,1993,"Fundamentals of Statistical Signal Processing, Volume I",Kay Steven M.
20843,2000,Extended fuzzy clustering algorithms,Kaymak Uzay
20844,1998,Conjugate schema and basis representation of crossover and mutation,Sanza Kazadi H.Lin
20845,1995,An experimental and theoretical comparison of model selection methods,Kearns Michael J.
20846,1997,An experimental and theoretical comparison of model selection methods,Kearns Michael J.
20847,2004,Scaled symbolic regression,Keijzer Maarten
20848,2001,Evolving objects: A general purpose evolutionary computation library,Maarten Keijzer J.J.Merelo
